Category,Subcategory,Product Ratings,Brand Name,Review Sentiment,Review,#of Positive Sentences,#of Neutral Sentences,#of Negative Sentences,Positive Sentences,Neutral Sentences,Negative Sentences,Aspect,Review Aspect Sentiment
ELECTRONICS,LAPTOPS,4,Dell,positive,"  I wanted to enter the world of chromebooks, since so many of my students have them (but almost always forget to bring them to tutor sessions). I didn't want to invest a lot of money as I already have a nice desktop PC and a small tablet for entertainment streaming. I also have a nice Dell 11.6 Windows laptop 2 in 1, purchased 4 years ago for tutor use, but it is noticeably slow as Windows is always pokey to load, or chooses to update when I wake the thing, or has to wind through a virus protector, THEN load Chrome with Google docs or slides (even on a desktop shortcut).  That's not so fun when you've got a room full of high schoolers looking for an excuse to get distracted. So I was intrigued by those ads that showed the speed and ease of chromebook for Goggle Docs and Slides. To test my theory, one student and I had a loading race with their chromebook and my older windows 10 Dell (updated, memory cleaned, debugged...so lean and mean as its going to get), and hands down, the chromebook left my old Dell Inspiron 3000 windows 10 in the dust.That brought me to Amazon and this chromebook.This Dell N3481 (as it says on the box) chromebook 11, NON TOUCHSCREEN, is an excellent economical student chromebook which is why I gave it 4 stars. It is a nice back pack size, overall sturdy (though the screen-lid feels like it bends a little which is a bit disturbing but probably harmless), from sleep loads to chrome menu incredibly fast, then opens Google docs or slides incredibly fast, plus has a long life battery. Don't expect to run your favorite Windows programs as this is not that kind of computer. It is a glorified Android (chrome) tablet with nice touch dedicated keyboard for those who are tired of typing with their thumbs for longer composition essays in the Google doc/slide or mobile app formats. So for a student notebook, it is excellent and an extremely good buy at the price of about $160 new (at this time).What it is not: It is not for a professional tutoring business where 2 students, or a small group club, have to look at the same screen at angles. This is NOT IPS nor is it in any way multidirectional. The description where it says it can lay flat to view is an exaggeration at best, misleading in truth. The moment you leave dead center, with an otherwise decent to good quality screen that is bright and sharp enough for Netflix surfing and definitely any browsing or document work, you enter the world of shadows and rank invisibility. That won't make a a bit of difference if you are a single student using your computer to sit at your desk to do homework. It DOES make a BIG difference if you need to be able to view it at off angles.  In order to do that, upgrade to the Dell touchscreen model which includes IPS technology so that the screen is bright and sharp at all angles...flat, tented, side by side two people, small club, etc.The sound is decent to good for one student, and loud enough to listen to over a newer dishwasher while you video watch while cooking. It is tinny and somewhat indistinguishable if you put it up to full so that a group can listen to the video. Buying a reasonably inexpensive USB speaker will clean that up (which I had on hand for proof).And yet...I returned it. The deal breaker was lack of screen angle for my purposes.I love the chrome environment as it fits my tutor needs. If this were for my child to go to high school or even college....I would have been happy. However for what I need in my tutoring business and club coaching, I have returned it to upgrade to the Dell Inspiron Chromebook 11, 2 in 1, touchscreen.  It will be like my old Dell windows 2 in 1 just without the clunky windows 10 bogging down efforts to get to Google work.",2953,518,249,"I didn't want to invest a lot of money as I already have a nice desktop PC and a small tablet for entertainment streaming.
I also have a nice Dell 11.6 Windows laptop 2 in 1, purchased 4 years ago for tutor use, but it is noticeably slow as Windows is always pokey to load, or chooses to update when I wake the thing, or has to wind through a virus protector, THEN load Chrome with Google docs or slides (even on a desktop shortcut).
So I was intrigued by those ads that showed the speed and ease of chromebook for Goggle Docs and Slides.
To test my theory, one student and I had a loading race with their chromebook and my older windows 10 Dell (updated, memory cleaned, debugged...so lean and mean as its going to get), and hands down, the chromebook left my old Dell Inspiron 3000 windows 10 in the dust.That brought me to Amazon and this chromebook.This Dell N3481 (as it says on the box) chromebook 11, NON TOUCHSCREEN, is an excellent economical student chromebook which is why I gave it 4 stars.
It is a nice back pack size, overall sturdy (though the screen-lid feels like it bends a little which is a bit disturbing but probably harmless), from sleep loads to chrome menu incredibly fast, then opens Google docs or slides incredibly fast, plus has a long life battery.
Don't expect to run your favorite Windows programs as this is not that kind of computer.
It is a glorified Android (chrome) tablet with nice touch dedicated keyboard for those who are tired of typing with their thumbs for longer composition essays in the Google doc/slide or mobile app formats.
So for a student notebook, it is excellent and an extremely good buy at the price of about $160 new (at this time).What it is not: It is not for a professional tutoring business where 2 students, or a small group club, have to look at the same screen at angles.
The description where it says it can lay flat to view is an exaggeration at best, misleading in truth.
The moment you leave dead center, with an otherwise decent to good quality screen that is bright and sharp enough for Netflix surfing and definitely any browsing or document work, you enter the world of shadows and rank invisibility.
In order to do that, upgrade to the Dell touchscreen model which includes IPS technology so that the screen is bright and sharp at all angles...flat, tented, side by side two people, small club, etc.The sound is decent to good for one student, and loud enough to listen to over a newer dishwasher while you video watch while cooking.
Buying a reasonably inexpensive USB speaker will clean that up (which I had on hand for proof).And yet...I returned it.
The deal breaker was lack of screen angle for my purposes.I love the chrome environment as it fits my tutor needs.
If this were for my child to go to high school or even college....I would have been happy.
It will be like my old Dell windows 2 in 1 just without the clunky windows 10 bogging down efforts to get to Google work.","This is NOT IPS nor is it in any way multidirectional.
That won't make a a bit of difference if you are a single student using your computer to sit at your desk to do homework.
It DOES make a BIG difference if you need to be able to view it at off angles.
It is tinny and somewhat indistinguishable if you put it up to full so that a group can listen to the video.
However for what I need in my tutoring business and club coaching, I have returned it to upgrade to the Dell Inspiron Chromebook 11, 2 in 1, touchscreen.","  I wanted to enter the world of chromebooks, since so many of my students have them (but almost always forget to bring them to tutor sessions).
That's not so fun when you've got a room full of high schoolers looking for an excuse to get distracted.","Cargo
Originalty
Packaging
Quality","{'PC': ['NICE'], 'LAPTOP': ['NICE'], 'CHROMEBOOK': ['EXCELLENT'], 'SIZE': ['NICE'], 'PROGRAM': ['FAVORITE'], 'KEYBOARD': ['NICE'], 'BUY': ['GOOD'], 'SCREEN': ['GOOD', 'BRIGHT'], 'CENTER': ['DEAD']}"
ELECTRONICS,LAPTOPS,4,HP,positive,"  I would give this Chromebook 5 stars if it weren't for the problems I had ordering it.  Twice I ordered one of the HP 11 Chromebooks, at first the earlier G4 model, and twice I received the incorrect model.  In each case, the packaging had been mislabeled, either by HP or an HP refurbisher/reseller. In the meantime the price kept going up.  I then tried to order the newer and less expensive (!) HP 11 G5.  Amazon offers it new at a serious discount to Prime members.  Sounded good except Amazon was indicating a 3-4 week delivery time.  I finally reordered a ""like new"" G5, received it in 2 days, and am quite happy.  Anyone who orders one of these fabulous Chromebooks should be aware of the significant differences between the G4 And G5 models and should check to be sure he or she receives what was ordered, including the amount of installed memory.  The differences between the G4 and G5 include:The G4 has a slightly faster CPU.The G5 CPU is a more energy efficient processor.The G5 has a redesigned battery.Because of the last two differences, the G5 has a 9-12 hour battery capacity compared to 5-8 hours for the G4.The G5 has a microSD slot; the G4 has a full size SD slot.The G5 has 2 USB3 ports; the G4 has 1 USB2 and 1 USB3 port (I think).The G5 now runs Android apps offered through Google Play.  The G4 does not have this capability.The last capability really sold me on the G5.  I can now play all my Amazon Audible books on this Chromebook, which I couldn't do on my older Chromebooks.  My less versatile Fire tablet is quickly becoming obsolete for my uses.  By the way, Google Play comes up as a pre-installed app on the G5 and is a gateway to many more apps, which I have yet to explore.  I also own an older HP Chromebook 14.  Both the G4 and G5 are significantly lighter and more portable than the HP Chromebook 14 and have no moving parts (no fan, completely noiseless).To be clear, older Chromebooks also have Google Play installed but have limited or no ability to run Android apps.  My Chromebook is running Chrome version 60.0.3112.80.  In the system details (chrome://system) is the additional line ""CHROMEOS_ARC_ANDROID_SDK_VERSION 23"".  That may be the key new element that allows running Android apps.  I do not have that element in my HP Chromebook 14, which cannot run Android programs.",1485,746,71,"  I would give this Chromebook 5 stars if it weren't for the problems I had ordering it.
Amazon offers it new at a serious discount to Prime members.
Sounded good except Amazon was indicating a 3-4 week delivery time.
I finally reordered a ""like new"" G5, received it in 2 days, and am quite happy.
Anyone who orders one of these fabulous Chromebooks should be aware of the significant differences between the G4 And G5 models and should check to be sure he or she receives what was ordered, including the amount of installed memory.
The differences between the G4 and G5 include:The G4 has a slightly faster CPU.The G5 CPU is a more energy efficient processor.The G5 has a redesigned battery.Because of the last two differences, the G5 has a 9-12 hour battery capacity compared to 5-8 hours for the G4.The G5 has a microSD slot; the G4 has a full size SD slot.The G5 has 2 USB3 ports; the G4 has 1 USB2 and 1 USB3 port (I think).The G5 now runs Android apps offered through Google Play.
I can now play all my Amazon Audible books on this Chromebook, which I couldn't do on my older Chromebooks.
By the way, Google Play comes up as a pre-installed app on the G5 and is a gateway to many more apps, which I have yet to explore.
Both the G4 and G5 are significantly lighter and more portable than the HP Chromebook 14 and have no moving parts (no fan, completely noiseless).To be clear, older Chromebooks also have Google Play installed but have limited or no ability to run Android apps.","Twice I ordered one of the HP 11 Chromebooks, at first the earlier G4 model, and twice I received the incorrect model.
In each case, the packaging had been mislabeled, either by HP or an HP refurbisher/reseller.
In the meantime the price kept going up.
I then tried to order the newer and less expensive (!)
HP 11 G5.
The G4 does not have this capability.The last capability really sold me on the G5.
I also own an older HP Chromebook 14.
My Chromebook is running Chrome version 60.0.3112.80.
In the system details (chrome://system) is the additional line ""CHROMEOS_ARC_ANDROID_SDK_VERSION 23"".
That may be the key new element that allows running Android apps.
I do not have that element in my HP Chromebook 14, which cannot run Android programs.",My less versatile Fire tablet is quickly becoming obsolete for my uses.,"Cargo
Originalty
Packaging
Quality","{'DISCOUNT': ['SERIOUS'], 'CHROMEBOOKS': ['FABULOUS'], 'DIFFERENCE': ['SIGNIFICANT'], 'PROCESSOR': ['EFFICIENT'], 'FAN': ['NOISELESS']}"
ELECTRONICS,LAPTOPS,4,Lenovo,positive,  The battery doesn't last like it says but it is a nice laptop other than than,79,0,0,  The battery doesn't last like it says but it is a nice laptop other than than,,,"Cargo
Originalty
Packaging
Quality",{'LAPTOP': ['NICE']}
ELECTRONICS,LAPTOPS,4,MICROSOFT,positive,"  Pros:• USB-C, Finally! As a past Surface Pro user, this was never a feature. With a USB-C, like any computer, you can do so much more with this device now. From headphones to connecting external 4k monitors, to charging this and other devices (USB-C chargers are 10x cheaper to get), to even connecting an Ethernet adaptor. About time Microsoft.• It's a very sold machine. I go no flex issues, the frame feels sturdy, and overall I felt that I can throw this in a bag and not worry.• It's light. Not IPad light, but enough that you won't feel worried that you're not going to bend it.• The microphone set up on the Pro is a big upgrade. Skype calls from my parents came crisp and clear in an indoor, TV on, volume. The web video is what it is, but the microphone setup is a thumbs up.• Cortana listens to you pretty well. I'm learning Spanish so translating even simple questions, from English to Spanish, Cortana does a lot better than either using Alexa or Google Assistant. Also questions about directions, weather, and others were spot on.• Excellent display. The screen is bright, outstanding saturation/color balance, and also offers ambient light sensing when it gets dark. When you go to settings you can modify it for a specific time, or it will automatically adjust when the sun goes down in your location.• Microsoft mastered the kickstand on this. Numerous ranges of all angels, and is even quite steady when it's placed on my lap.• microSD reader (for upgraded memory option)• Headphone Jack. I find this feature a must if you're planning to edit videos on this.• Solid State Drive (SDD) on a tablet size is one of the best things. If you have to choose, always an SSD, regardless of memory size. Faster, cooler, and• Charging on this is very fast. From 0 to 50% it took around 45-50 minutes. Note that I was using the charging cords that it came with. Don't expect the same results when using an off-brand.• A lot of horsepower for a tablet. Inside is an Ice Lake processor. To summarize, it features smaller transistors that makes multi-tasking an non-issue. Trying out for the first time with around 10 apps running (Madden, Netflix, Live Maps, Grand Trims Mo, etc.), the machine had no lag or hiccups. Largely the effects of this chip will be appreciated in the next 2 years from when you get this tablet.• The processor allows Wi-Fi 6 to be enforced on this tablet. This area is still new but within the next year, this tablet will already be up to date with the hardware. Meaning stronger upload and download rates.• The speakers shoot sound directly to my face. Turning on Spotify, I got a decent quality in sound. With rock and country, I got a very balanced, and a lot of power in the volume. For the average listener it's quite good. Not IPad level but still good to make the list.• I can see the 3:2 screen a benefit for those who want to read, show notes, and display documents at work. Not many tablets can provide this without losing some quality. For me, I saw no waste in this Surface.Cons and Oks:• The chunky bezel. Stick to the times Microsoft, this can't be ignored in 2019. It's very thick and with competitors providing bezel-less frames, or close to it, this is a major turn off (Not to mention that Microsoft itself has a Surface Pro X with a design that is significantly less in the bezel. (Why not this one?).• With the bezel issue, the screen size makes the tablet look 2 years older than what it is.• Last year's model and this one are 99% the same in design. Remove the USB-C connector and it'll be 100% the same. A very outdated design as I think Microsoft invested all their money on the internals and just forgot about the redesigning.• The battery life isn't great. I'm getting around 8 hours of power. That's having Wi-Fi always on, web surfing, daily YouTube playing, and a couple of hours with Netflix (plus a couple of smaller apps). It can last a whole day if you control your power and your screen display, but it's nowhere near what Microsoft is saying.• Don't take it outside on a sunny day. That sun glare is too powerful for this display brightness.• Keyboard and Surface Pen are sold separately. I didn't test these as you only get the tablet.• Even though USB-C is a great thing to have, we're already in the USB 3.1 world. With also no Thunderbolt 3 (quick file transfer) I wish that Microsoft put more effort into the outside design as much as they put in there hardware on this machine.• I found no issue playing Overwatch on this but trying to play Call of Duty forget it. This isn't for deep gaming and playing Overwatch killed a decent chunk of the battery.Bottom Line:If you're going to buy this, you need to at least invest in there keyboard cover. It's disappointing that to fully experience your Pro, you need to put down money on its keyboard and pen. Without a keyboard, from my experience, you're pretty limited. I used a Logitech Bluetooth keyboard and mouse, but the portably is limited if you can't attach them to the Surface Pro.Also we're in the age of laptops, tablets, and phones trying to reach the goal to be bezel-less.  I have the previous model on hand and I can't tell them apart in any way. Thanks to these 2019 new laptops/tablets, the bezels on this device make it feel like this tablet is from 2017. I'm also irritated that Microsoft didn't at least try to improve the design.But if you can deal with the design (and the battery) issues, you'll know that Microsoft put all their money on what's inside the system. From the new core processors, this tablet is a beast. I found it very fast, reliable, and it will stand its ground for 2+ years. For me that's the beauty of a Surface Pro: a PC in the size of a tablet. I'm always a PC fan and this performs as if I had a laptop on my lap, something an IPad can't do. If you can deal with the generic bezel look, and put money down for their keyboard, you're getting a beast of a computer fitting in a tablet.Overall: An outdated design that packs a lot of power for those who want more than just a generic tablet on the go.Hope I was a help to you.Love,Honest Reviewer",3095,2118,891,"With a USB-C, like any computer, you can do so much more with this device now.
Not IPad light, but enough that you won't feel worried that you're not going to bend it.• The microphone set up on the Pro is a big upgrade.
Skype calls from my parents came crisp and clear in an indoor, TV on, volume.
The web video is what it is, but the microphone setup is a thumbs up.• Cortana listens to you pretty well.
I'm learning Spanish so translating even simple questions, from English to Spanish, Cortana does a lot better than either using Alexa or Google Assistant.
Also questions about directions, weather, and others were spot on.• Excellent display.
The screen is bright, outstanding saturation/color balance, and also offers ambient light sensing when it gets dark.
I find this feature a must if you're planning to edit videos on this.• Solid State Drive (SDD) on a tablet size is one of the best things.
Trying out for the first time with around 10 apps running (Madden, Netflix, Live Maps, Grand Trims Mo, etc.
Largely the effects of this chip will be appreciated in the next 2 years from when you get this tablet.• The processor allows Wi-Fi 6 to be enforced on this tablet.
Meaning stronger upload and download rates.• The speakers shoot sound directly to my face.
For the average listener it's quite good.
Not IPad level but still good to make the list.• I can see the 3:2 screen a benefit for those who want to read, show notes, and display documents at work.
Not many tablets can provide this without losing some quality.
Stick to the times Microsoft, this can't be ignored in 2019.
That's having Wi-Fi always on, web surfing, daily YouTube playing, and a couple of hours with Netflix (plus a couple of smaller apps).
It can last a whole day if you control your power and your screen display, but it's nowhere near what Microsoft is saying.• Don't take it outside on a sunny day.
That sun glare is too powerful for this display brightness.• Keyboard and Surface Pen are sold separately.
I didn't test these as you only get the tablet.• Even though USB-C is a great thing to have, we're already in the USB 3.1 world.
With also no Thunderbolt 3 (quick file transfer) I wish that Microsoft put more effort into the outside design as much as they put in there hardware on this machine.• I found no issue playing Overwatch on this but trying to play Call of Duty forget it.
Without a keyboard, from my experience, you're pretty limited.
I have the previous model on hand and I can't tell them apart in any way.
Thanks to these 2019 new laptops/tablets, the bezels on this device make it feel like this tablet is from 2017.
For me that's the beauty of a Surface Pro: a PC in the size of a tablet.
I'm always a PC fan and this performs as if I had a laptop on my lap, something an IPad can't do.
If you can deal with the generic bezel look, and put money down for their keyboard, you're getting a beast of a computer fitting in a tablet.Overall: An outdated design that packs a lot of power for those who want more than just a generic tablet on the go.Hope I was a help to you.Love,Honest Reviewer","  Pros:• USB-C, Finally!
As a past Surface Pro user, this was never a feature.
From headphones to connecting external 4k monitors, to charging this and other devices (USB-C chargers are 10x cheaper to get), to even connecting an Ethernet adaptor.
About time Microsoft.• It's a very sold machine.
When you go to settings you can modify it for a specific time, or it will automatically adjust when the sun goes down in your location.• Microsoft mastered the kickstand on this.
Numerous ranges of all angels, and is even quite steady when it's placed on my lap.• microSD reader (for upgraded memory option)• Headphone Jack.
If you have to choose, always an SSD, regardless of memory size.
Faster, cooler, and• Charging on this is very fast.
From 0 to 50% it took around 45-50 minutes.
Note that I was using the charging cords that it came with.
Don't expect the same results when using an off-brand.• A lot of horsepower for a tablet.
Inside is an Ice Lake processor.
To summarize, it features smaller transistors that makes multi-tasking an non-issue.
This area is still new but within the next year, this tablet will already be up to date with the hardware.
Turning on Spotify, I got a decent quality in sound.
With rock and country, I got a very balanced, and a lot of power in the volume.
It's very thick and with competitors providing bezel-less frames, or close to it, this is a major turn off (Not to mention that Microsoft itself has a Surface Pro X with a design that is significantly less in the bezel.
(Why not this one?
).• With the bezel issue, the screen size makes the tablet look 2 years older than what it is.• Last year's model and this one are 99% the same in design.
Remove the USB-C connector and it'll be 100% the same.
I'm getting around 8 hours of power.
I'm also irritated that Microsoft didn't at least try to improve the design.But if you can deal with the design (and the battery) issues, you'll know that Microsoft put all their money on what's inside the system.
From the new core processors, this tablet is a beast.
I found it very fast, reliable, and it will stand its ground for 2+ years.","I go no flex issues, the frame feels sturdy, and overall I felt that I can throw this in a bag and not worry.• It's light.
), the machine had no lag or hiccups.
For me, I saw no waste in this Surface.Cons and Oks:• The chunky bezel.
A very outdated design as I think Microsoft invested all their money on the internals and just forgot about the redesigning.• The battery life isn't great.
This isn't for deep gaming and playing Overwatch killed a decent chunk of the battery.Bottom Line:If you're going to buy this, you need to at least invest in there keyboard cover.
It's disappointing that to fully experience your Pro, you need to put down money on its keyboard and pen.
I used a Logitech Bluetooth keyboard and mouse, but the portably is limited if you can't attach them to the Surface Pro.Also we're in the age of laptops, tablets, and phones trying to reach the goal to be bezel-less.","Cargo
Originalty
Packaging
Quality","{'DISPLAY': ['EXCELLENT'], 'SCREEN': ['BRIGHT'], 'BALANCE': ['OUTSTANDING'], 'STATE': ['SOLID'], 'THING': ['GOOD', 'GREAT'], 'TRIM': ['GRAND'], 'LEVEL': ['NOT GOOD'], 'LIFE': ['NOT GREAT'], 'DAY': ['SUNNY'], 'GLARE': ['POWERFUL'], 'REVIEWER': ['HONEST']}"
ELECTRONICS,LAPTOPS,3,ASUS,positive,"  I do.  I absolutely love this device and I am so glad I bit the bullet and bought one.  I have had it for a few weeks now and I don't miss my Windows laptop one single bit.  I was worried that my laptop had features with which a Chromebook could not compete.  I haven't come across any.Chromebooks do not come with optical drives or a hard drive with a ton of space.  You also can't load third party software such as MS Office or TurboTax.  There simply isn't the space or computing power to do so, not to mention the OS to support it.Chromebooks do come with the Chrome OS, browser and the ability to download apps from Google Play.  Onboard storage is limited to 16 - 64 GB but Chrome is fully integrated with Google Drive (unlimited storage) and you can easily use an SD card or a thumb drive so you can access files offline.  They also have considerably more battery time than a conventional laptop.  You can easily use the online version of MS Office if your account is associated with a licensed copy of MS Office or you can subscribe to Office 365 and most software applications you would use (e.g. Turbotax) have web-based versions as well.Anyway, back to the review of the ASUS C523.  Its a great device.  The C523 has a full 15.6 inch display so it ""looks"" like any full size laptop.  It is fully integrated with all of my Google resources...mail, Google Drive, Youtube and I can access content from Netflix via the Chrome browser or the app.  I can store files locally if I want but I usually just save them to Google Drive.  Its very portable and light so I can move with as easily as a spiral notebook.  The thing that really wows me is that it is ""instant on"".  I don't have to wait for some convoluted boot process...I open the lid, type my PIN and I am in with no delay.  Updates are done in the background and I have not had to do a reboot yet because of one.  It intefrated with my (wireless) printer in a snap...I have not tried USB connecting the printer so I don't know if that would work.The only negative thing I have to say is regarding battery life.  ASUS says you can get up to 10 hours of battery life.  That is not true.  There is nothing that you can do on this device that is economical enough to get you to 10 hours of battery life.  I would say you can count on about 5 hours MAX if you are just surfing the internet or watching Netflix and the display brightness is kept as low as possible. I usually have to plug it in shortly after four hours; still better than my laptop.",1313,583,589,"I absolutely love this device and I am so glad I bit the bullet and bought one.
I have had it for a few weeks now and I don't miss my Windows laptop one single bit.
There simply isn't the space or computing power to do so, not to mention the OS to support it.Chromebooks do come with the Chrome OS, browser and the ability to download apps from Google Play.
Onboard storage is limited to 16 - 64 GB but Chrome is fully integrated with Google Drive (unlimited storage) and you can easily use an SD card or a thumb drive so you can access files offline.
You can easily use the online version of MS Office if your account is associated with a licensed copy of MS Office or you can subscribe to Office 365 and most software applications you would use (e.g.
Its a great device.
The C523 has a full 15.6 inch display so it ""looks"" like any full size laptop.
I can store files locally if I want but I usually just save them to Google Drive.
Its very portable and light so I can move with as easily as a spiral notebook.
The thing that really wows me is that it is ""instant on"".
I would say you can count on about 5 hours MAX if you are just surfing the internet or watching Netflix and the display brightness is kept as low as possible.
I usually have to plug it in shortly after four hours; still better than my laptop.","  I do.
They also have considerably more battery time than a conventional laptop.
Turbotax) have web-based versions as well.Anyway, back to the review of the ASUS C523.
It is fully integrated with all of my Google resources...mail, Google Drive, Youtube and I can access content from Netflix via the Chrome browser or the app.
Updates are done in the background and I have not had to do a reboot yet because of one.
ASUS says you can get up to 10 hours of battery life.
There is nothing that you can do on this device that is economical enough to get you to 10 hours of battery life.","I was worried that my laptop had features with which a Chromebook could not compete.
I haven't come across any.Chromebooks do not come with optical drives or a hard drive with a ton of space.
You also can't load third party software such as MS Office or TurboTax.
I don't have to wait for some convoluted boot process...I open the lid, type my PIN and I am in with no delay.
It intefrated with my (wireless) printer in a snap...I have not tried USB connecting the printer so I don't know if that would work.The only negative thing I have to say is regarding battery life.
That is not true.","Cargo
Originalty
Packaging
Quality","{'DRIVE': ['HARD'], 'DEVICE': ['GREAT'], 'THING': ['NEGATIVE']}"
ELECTRONICS,LAPTOPS,3,Acer,positive,"  Three stars because of the speakers being on top and not at the bottom of the laptop. Also because I function around Google so it's convenient to have a Chromebook. I didn't like that it doesn't have a right click function. It's an okay laptop, especially if you're just using it for simple stuff. I think I'll just spend a little more for more features.",161,135,58,"  Three stars because of the speakers being on top and not at the bottom of the laptop.
It's an okay laptop, especially if you're just using it for simple stuff.","Also because I function around Google so it's convenient to have a Chromebook.
I think I'll just spend a little more for more features.",I didn't like that it doesn't have a right click function.,"Cargo
Originalty
Packaging
Quality",{'LAPTOP': ['OKAY']}
ELECTRONICS,LAPTOPS,3,Apple,neutral,  Excelente,0,11,0,,  Excelente,,"Cargo
Originalty
Packaging
Quality",{}
ELECTRONICS,LAPTOPS,3,Dell,positive,"  Just unboxed this little ditty nd completed the initial set up once I got connected to the internet. That process took less time than it took to open the boxes! First critique is that there is no charging light or indicator - that would be useful so I would know if the Unit was operating or even charging. A backlight to the power ON key would have been useful in a similar vein. It's weight and size is perfect for what I wanted and the touch screen is quite nice and reactive. The keyboard is not quite as springy as I am used to but given the laptop's size and weight that can be forgiven. I wanted something light and portable and I have definitely found that. The most major critique I have however is that contrary to what was advertised on this site - this particular device comes with Windows 10S and NOT Windows. Of course this was only discovered when I tried to make the switch to the much preferred Chrome Browser as opposed to WIndows Edge. I mean they did try to hard sell the Edge browser during set up, but I would much rather prefer Chrome due to it's user friendliness and accessibility across my devices. I feel somewhat hoodwinked by the seller! So now to consult You Tube and Google on how to switch out of S Mode and go about my business. With some more usage I may update this review.",674,635,0,"First critique is that there is no charging light or indicator - that would be useful so I would know if the Unit was operating or even charging.
A backlight to the power ON key would have been useful in a similar vein.
It's weight and size is perfect for what I wanted and the touch screen is quite nice and reactive.
The keyboard is not quite as springy as I am used to but given the laptop's size and weight that can be forgiven.
I wanted something light and portable and I have definitely found that.
I mean they did try to hard sell the Edge browser during set up, but I would much rather prefer Chrome due to it's user friendliness and accessibility across my devices.","  Just unboxed this little ditty nd completed the initial set up once I got connected to the internet.
That process took less time than it took to open the boxes!
The most major critique I have however is that contrary to what was advertised on this site - this particular device comes with Windows 10S and NOT Windows.
Of course this was only discovered when I tried to make the switch to the much preferred Chrome Browser as opposed to WIndows Edge.
I feel somewhat hoodwinked by the seller!
So now to consult You Tube and Google on how to switch out of S Mode and go about my business.
With some more usage I may update this review.",,"Cargo
Originalty
Packaging
Quality","{'BACKLIGHT': ['USEFUL'], 'WEIGHT': ['PERFECT', 'NICE'], 'SIZE': ['PERFECT'], 'SCREEN': ['NICE']}"
ELECTRONICS,LAPTOPS,3,HP,positive,"  First, I'll say that it's an excellent product.  If you don't need to run too many programs, it's a really nice alternative to a PC.  However, apparently there are keyboard issues.  I didn't know about it until it happened to me, but it's widespread based on my googling.  On the bright side, Amazon put me in touch with HP who are doing a free repair on it.  Still, disappointed that the device broke.  I don't type harder than an average person, so for this to happen to me and so many others likely means it's a problem with the keyboard itself.",219,136,187,"  First, I'll say that it's an excellent product.
If you don't need to run too many programs, it's a really nice alternative to a PC.
On the bright side, Amazon put me in touch with HP who are doing a free repair on it.","However, apparently there are keyboard issues.
I didn't know about it until it happened to me, but it's widespread based on my googling.","Still, disappointed that the device broke.
I don't type harder than an average person, so for this to happen to me and so many others likely means it's a problem with the keyboard itself.","Cargo
Originalty
Packaging
Quality","{'PRODUCT': ['EXCELLENT'], 'ALTERNATIVE': ['NICE'], 'SIDE': ['BRIGHT'], 'REPAIR': ['FREE']}"
ELECTRONICS,LAPTOPS,3,Lenovo,negative,"  I am particularly not happy that the system becomes too slow, even more than the usual 4G RAM computer, after opting out of the 10S mode.  I could not open two internet tabs at the same time and had to wait endlessly for simple MS document to open. It is simply not acceptable. Highly not recommended, especially if you are looking for moderate system. This is below the bar.",0,132,243,,"I could not open two internet tabs at the same time and had to wait endlessly for simple MS document to open.
This is below the bar.","  I am particularly not happy that the system becomes too slow, even more than the usual 4G RAM computer, after opting out of the 10S mode.
It is simply not acceptable.
Highly not recommended, especially if you are looking for moderate system.","Cargo
Originalty
Packaging
Quality",{}
ELECTRONICS,LAPTOPS,3,MICROSOFT,neutral,  Computer will not charge. Either has an issue with the charging port or the cord that was sent with it has an issue.,0,118,0,,"  Computer will not charge.
Either has an issue with the charging port or the cord that was sent with it has an issue.",,"Cargo
Originalty
Packaging
Quality",{}
ELECTRONICS,LAPTOPS,2,ASUS,negative,  I should have paid more attention to the reviews --- This thing lasted only a month and did exactly what the others in the reviews said it did … Stop turning on.  Not like my Samsung Chromebook I had before. This one was subpar,0,19,208,,This one was subpar,"  I should have paid more attention to the reviews --- This thing lasted only a month and did exactly what the others in the reviews said it did … Stop turning on.
Not like my Samsung Chromebook I had before.","Cargo
Originalty
Packaging
Quality",{}
ELECTRONICS,LAPTOPS,2,Acer,positive,  My Cricut and Cannon printer aren't compatible. It's not what I expected after having a Mac and a Toshiba laptop. Would not recommend. Pay the extra and get a better computer.,40,115,20,Pay the extra and get a better computer.,"  My Cricut and Cannon printer aren't compatible.
It's not what I expected after having a Mac and a Toshiba laptop.",Would not recommend.,"Cargo
Originalty
Packaging
Quality",{'COMPUTER': ['GOOD']}
ELECTRONICS,LAPTOPS,2,Apple,negative,  I'm a fan of apple products and I like almost everything about this new MBA. But it has one huge flaw that nobody talks about. It's the camera hardware and it hasn't been updated in ages. My zoom calls are so grainy and bad even with decent light. A $1000 laptop with 10 year old front camera is unacceptable. Camera is very important to me. Especially now that we all are quarantined at home and making zoom calls all the time.,160,147,121,"  I'm a fan of apple products and I like almost everything about this new MBA.
But it has one huge flaw that nobody talks about.
Camera is very important to me.","It's the camera hardware and it hasn't been updated in ages.
Especially now that we all are quarantined at home and making zoom calls all the time.","My zoom calls are so grainy and bad even with decent light.
A $1000 laptop with 10 year old front camera is unacceptable.","Cargo
Originalty
Packaging
Quality","{'FLAW': ['HUGE'], 'CALL': ['BAD'], 'LAPTOP': ['UNACCEPTABLE'], 'CAMERA': ['IMPORTANT']}"
