Product Names,Product Prices,Product Ratings,User Reviews
"2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 16GB DDR4 RAM, 512GB PCIe SSD) Type-C, HDMI, Windows 10 Pro + HDMI Cable",$965.00,4.0,"
  My order arrived on time and was undamaged.  Great purchase, had no issues with upgrades or connection to wifi. I was able to immediately use the Thinkpad, missing the longer battery life. The computer starts quickly and was able to download 57MB in a few minutes.  Note it's a bit older so not an intel Core i7 or fingerprint unlock functionality.  Otherwise, it's a pretty decent purchase for business computer.
"
"2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 16GB DDR4 RAM, 512GB PCIe SSD) Type-C, HDMI, Windows 10 Pro + HDMI Cable",$965.00,2.0,"
  I got this computer specifically for the keyboard.  4 months into it, the bracket breaks on my ""k"" key.  It's under waranty, so Lenovo will fix it, but it will take 3+ weeks and I won't be able to wor.  I can't get a loaner, because I didn't purchase the laptop directly from Lenovo, so I have no way to mae a claim.  It's pretty frustrating.  Outside of an obscenely long repair job from the manufacturer, the seller who purchased it (Issaquah Highlands Tech) from Lenovo is washing their hands because it lasted more than a month (lol) which is the minimum that amazon requires (lol).  So I would avoid using this seller, and I would advise considering buying directly from the manufacturer purchases like these.  This is my second Lenovo, the first being a Yoga 910 that lasted many years.  The eyboard on this one lasted 4 months, and that's specifically why I got it.  Pretty frustrating to say the least.Also, the camera is very low quality, the screen is not very bright at certain angles, and while the layout of the keys is very nice, the quality of the eyboard is questionable at best.  If I could do it over, I would definitely not have chosen this computer or this seller.
"
"2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 16GB DDR4 RAM, 512GB PCIe SSD) Type-C, HDMI, Windows 10 Pro + HDMI Cable",$965.00,2.0,"
  I am VERY disappointed especially for the money. I mainly got this to work with my pictures at the same time I upgraded my camera. I only got this laptop was because my computer tech son did the research for me and suggested it. I have only used it 3 or 4 times in the last month since 1) my youngest son can not participate in sports right now due to COVID and 2) COVID in general.I just went to use it to look up some stuff really quick and the entire top row of letters aren’t working!!! NONE of them! Nothing has been spilled on it, it has stayed safe and sound in a drawer on my desk except for the couple of times I’ve used it.I’m not a happy camper with this purchase
"
"2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 16GB DDR4 RAM, 512GB PCIe SSD) Type-C, HDMI, Windows 10 Pro + HDMI Cable",$965.00,5.0,"
  I purchased (& paid more) for the Thinkpad mainly for it's keyboard. Silly, I know, but many laptops have horrible flat keys. I LOVE my Thinkpad!! I was extra impressed it didn't come with all the extra trial software you get when you pick one up at a big box retailer!
"
"2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 16GB DDR4 RAM, 512GB PCIe SSD) Type-C, HDMI, Windows 10 Pro + HDMI Cable",$965.00,1.0,"
  The unit I received (16GB RAM, 512 GB NVME SSD) was unable to wake up after going to sleep due to idle. If you use the [Start]->Power->Sleep menu option in Win10, it was able to wake up. This was also a 1st gen E15, not the latest 2nd Gen E15 that is widely available. The SSD was an aftermarket brand ""OEM Genuine"" with what appears to be a solid Silicon Motion controller. Otherwise the keyboard was comfortable and the design looks and feels sharp. I am just very disappointed with the inability to wake up from sleep - and I wonder if this has anything to do with the aftermarket upgrades.
"
"Lenovo - IdeaPad 3 15"" Laptop - Intel Core i3-1005G1-8GB Memory - 256GB SSD - Platinum Grey - 81WE011UUS",$474.00,5.0,"
  I bought this for my grandson who is 14 years old and He loves it. I don’t know much about computers but he says it’s great so I’ll take his word for it.
"
"Lenovo - IdeaPad 3 15"" Laptop - Intel Core i3-1005G1-8GB Memory - 256GB SSD - Platinum Grey - 81WE011UUS",$474.00,5.0,"
  This is the perfect laptop for me. Extremely fast bootup, actually very fast everything. I do quite a bit on Excel, it loads almost instantly. Browsing speeds are very good even with my mediocre ISP. I really like this computer, It does everything a laptop should very well.  I haven't tried any gaming on it, but it's not a gaming laptop.
"
"Lenovo - IdeaPad 3 15"" Laptop - Intel Core i3-1005G1-8GB Memory - 256GB SSD - Platinum Grey - 81WE011UUS",$474.00,5.0,"
  I like the screen resolution, the battery and the speed
"
"Lenovo - IdeaPad 3 15"" Laptop - Intel Core i3-1005G1-8GB Memory - 256GB SSD - Platinum Grey - 81WE011UUS",$474.00,3.0,"
  The product arrived with a broken hinge and I had to return it immediately. Still waiting for a refund. Very disappointed.
"
"Lenovo - IdeaPad 3 15"" Laptop - Intel Core i3-1005G1-8GB Memory - 256GB SSD - Platinum Grey - 81WE011UUS",$474.00,3.0,"
  Good product as described. The only annoying thing is that the warranty started two month ago although I only got it a week ago. Not sure why but hence the three stars.
"
"Lenovo - IdeaPad 3 15"" Laptop - Intel Core i3-1005G1-8GB Memory - 256GB SSD - Platinum Grey - 81WE011UUS",$474.00,5.0,"
  I am happy with this lenovo laptop, excellent construction material, light, enough for what I need, good price. With the first impression and revision it earn 5 stars, I hope that with the use you will not have problems.
"
"Lenovo - IdeaPad 3 15"" Laptop - Intel Core i3-1005G1-8GB Memory - 256GB SSD - Platinum Grey - 81WE011UUS",$474.00,1.0,"
  This thing is complete garbage. I bought it for my dad, and I spent an hour setting it up, but it immediately disabled the touchpad (as in completely wiped it from the system). Any effort to restore it failed, so I had to do a complete reset on it just to get back one of the most basic features of any such device.This is the last time I will ever buy a Lenovo product. Not remotely worth the frustration.
"
"Lenovo - IdeaPad 3 15"" Laptop - Intel Core i3-1005G1-8GB Memory - 256GB SSD - Platinum Grey - 81WE011UUS",$474.00,5.0,"
  The 10th gen i3 gets the job done. We're not using it for gaming; just needed a replacement for my wife's aging Chromebook. It's super snappy and smooth with everyday web browsing, Office app usage, etc. I do wish they put a backlight in the keyboard, but not a deal breaker. Have also seen a few reviews online complaining about screen ""wash out"" but we have seen none of that. I'm not sure how many people use their laptops outside.. the brightness is perfect indoors but no clue how it would perform outside (not something we'll ever need). Good purchase, great seller.
"
"Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",$279.99,4.0,"
  This is my first Chromebook and I love it. The simplicity of this thing is amazing, I have an expensive Windows 10 PC that drives me crazy, I find Windows has become a very intrusive and confusing computer, that bothers you with a load of notifications and pop ups. Trying to figure out how to disable all that stuff is a real pain, Windows seems to bury all those settings, making them hard to find.  This Chromebook is none of that, the ease of this is like using a smartphone. I have absolutely no problem with the screen resolution , it looks fine to me. I can't comment on the battery life because I've yet to unplug it, I use it strictly as a stay in one place computer (plugged in all the time). Google Docs and files take a little getting used to if you never used them, but once you get used to it you'll have no problem. It was not a problem for me because I was already use them on my iPhone . You can't download outside programs because its a closed system, to me , that's a good thing because I only use it to surf the web, shop, emails and files. And because you can't download programs your not gonna pick up any viruses. If you need to edit any photos you can always download a photo app from the Play store. I've found the storage and speed for this to be just fine, it doesn't seem to slow down with numerous tabs open. You have a load of apps to download from the Google play store that should keep you happy. I don't use it to stream movies or play games so I can't comment on that, I'll streams stuff from YouTube with no problems at all. If you want a laptop to do just the basics like I do, then you can't go wrong with this for the price. To me it's way better then one of those low cost Windows PC's. I had a low end Windows PC that I bought  as a extra computer for me to use when my wife is working on the expensive PC, I hated it so much I gave it away before it was a month old. Besides being intrusive and confusing, it was slow as crap. This Chromebook is like having a giant smartphone with a keyboard, (IT'S THAT EASY). The only reason I took away one star is because I think it could of used one more USB port, other then that I love it, and if you use a computer like I do, you will too.PS. Keep in mind that this model S330 comes in different specs. My review is based on the model with the higher resolution screen  (1920 x 1080) and more memory (64gb). They have a cheaper model called the S330 with less resolution and less memory.
"
"Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",$279.99,1.0,"
  The FHD (1920x1080p) version of the Lenovo S330 definitely does NOT have an IPS display. The panel is reminiscent of what you'd see on a Windows XP era laptop. No matter what angle you choose, it looks washed out. Some colors are so undersaturated that it's hard to see gradients.Lenovo's decision to put a non-IPS display on the S330 is baffling. It's a real shame too, because otherwise, the S330 is a very nice Chromebook for the price. The keyboard feels great, the trackpad has an amazing texture, and overall the build quality is quite good. However, without an IPS display, it's a new car with an engine from the 1970's. It'll work...but why?
"
"Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",$279.99,1.0,"
  ... you receive a written promise from Lenovo quality control that they'll pay YOU for the time you'll need to spend doing their job for them. I've had this Lenovo Chromebook for just a few days, and already I've spent too much time restarting it. On the same day it arrived, it began to freeze and turn off. Repeatedly. I ran powerwash several times. Same issue.The value proposition for this Chromebook is that you can simply open the box, and get started working, hassle-free.  Value has not been delivered. If I wanted this much aggravation, I'd run one of my old Dell's with Vista.UPDATE: 4/23. Ran powerwash two more times. Spoke with Amazon. Spoke with Lenovo. Ran complete recovery of Chrome OS. Still freezes and crashes. Just ordered a second one for arrival 4/23, and am returning this one. Perhaps this one is just a lemon. If the second machine works as it should, I'll update here. If it doesn't, I'll return it also and post a second review. Total time wasted so far: 12 hours and counting.
"
"Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",$279.99,5.0,"
  I was nervous about ordering this Chromebook many months before arrival. It was a Christmas gift for my husband. However, it arrived as scheduled in great condition. We had been looking for an affordable Chromebook of good quality for watching videos, browsing the internet and using google documents. The battery life is awesome and the resolution is great. He's been using it since December and is very happy with it. Would recommend!
"
"LG Gram 17Z90P - 17"" WQXGA (2560x1600) Ultra-Lightweight Laptop, Intel evo with 11th gen CORE i7 1165G7 CPU , 16GB RAM, 1TB SSD, Alexa Built-in, 19.5 Hours Battery, Thunderbolt 4, Black - 2021","$1,687.13",5.0,"
  UPDATE March 23, 2020:It's been a month-and-a-half since my original review (below). I still very much love this laptop. Admittedly, the ""Bad"" list (below) might sound overly negative, but I'm just being real. The laptop isn't perfect, but *for me* the pros still outweigh the cons and I'd still buy this again in an instant. It's totally understandable if some of these things are deal-breakers for other people -- but if you still get the laptop, hopefully this review helps you understand what you're getting.Good:- Still love the large screen and light weight (doesn't feel bulky to me)- Still enjoy the keyboard layout and number pad- So far, no bends or dents. The lid hinge is still tight/stable.- Trackpad works well, feels good.- The screen and resolution are bright and crisp enough for me.Bad (although none of these are deal-breakers for me, some of them are annoying):- The included charger charges SOOOO slowly. The laptop takes hours to charge. Even going from 20% to say 70% takes forever -- it's only a little better if you shut it off/standby/hibernate first. This is my biggest complaint.- The WiFi takes forever to reconnect when resuming Windows from standby or hibernate. This is my second biggest complaint. It seems to happen on different WiFi networks and a none of my other laptops have had this problem on those same WiFi networks. I Googled a lot to try to fix this, but nothing worked -- including latest drivers. This is probably more of a Windows config/driver problem, but it's still happening on my laptop and I can't fix it.- Battery life isn't great. When studying I get maybe 5 hours before draining to 20ish%. Obviously this will be different for everyone because we all run different apps or have different things running in the background, but I'm surprised it isn't better.- Speakers aren't very good. They're not super loud but not very clear either. Pretty disappointing. They sound like they vibrate/resonate when playing particular frequencies. The speakers aren't blown for sure, they just rattle in those very specific instances for some reason.- I've resorted to only using hibernate when I close the laptop lid (versus just going into standby). The laptop doesn't seem to handle standby well and still runs for quite a while before actually going to standby (if at all). Sometimes I put the laptop in a fitted soft case and I later find out that Windows never really went on standby and I now have a dead battery or I find that the laptop is really hot from running while trapped in the case. Hibernate is fine and it's not slow, but it's annoying that standby doesn't work like it does for other laptops. Probably a Windows issue if anything, but I couldn't find any fixes for this -- and I've tried a lot.- I wish the track pad was centered relative to the keyboard's home row and space bar, i.e. a little bit more to the left.- The CPU has throttled down to 0.4 GHz (400 MHz) on occasion. Not a lot though. I wasn't doing anything intensive. Maybe Windows was indexing? Generally, doesn't seem to thermal throttle much though.=====ORIGINAL REVIEW February 4, 2020:I decided I wanted a lightweight, large screen laptop so the LG Gram 17 was really the only option -- other light laptops aren't 17"", and other 17"" laptops aren't lightweight. Because of this I admit that this laptop is on the pricey side, but that's to be expected if there are no direct competitors. I've been waiting for the 10th Gen Intel processor. It runs at a lower clock speed than the previous 8th Gen processor, but according to benchmarks it's faster and has better power efficiency. The 10 nm vs the 8th Gen 14 nm manufacturing helps. I haven't had this long enough yet to comment on everyday use, but I'll tell you my first impressions.Similar to the previous model, it's lightweight with a large screen. The CPU isn't super fast, but that wasn't what was important to me. I wanted long battery life and a large screen. I'm a student so both of these benefit me more than a super-fast processor. The processor is fast enough for what I need it for. A lot of YouTube reviewers don't like this laptop because they think the CPU is under-powered -- they think the only people who want 17"" screens are content creators like them, but they're not understanding the audience that actually appreciate what this laptop has to offer. My previous laptop had a 4k 15"" touchscreen. I'll have to say that I thought I'd use those options more than I really did. I appreciate that this laptop has a lower resolution (but still high enough to be crisp) to help with battery life. Also, I didn't find the touchscreen useful at all so I'm glad this doesn't have it.Some of the things I've read from the previous year's model is that the laptop would consume more power than it could charge when under load (maybe high CPU-intensive tasks? or charging a phone on USB?). So essentially people would say that their battery would drain even while charging, which I think is pretty bad. Hopefully the power-efficiency of the new CPU will help with that, but I don't know if that's still a problem. Also, people said that the CPU would thermal throttle with the 8th Gen Intel. Again, not sure yet if this model will do that, but I'm hoping that the lower clock speed and the better efficiency of the 10th Gen will alleviate that. Also, an LG spokesperson somewhere said that this laptop has ""better cooling"" than the previous gen. I don't know if that's true, but if it is, hopefully that helps as well.Here are my other first impressions. The keyboard keys are quiet but a little mushy. Not the best, but it's good enough. Also, the new keyboard layout with the expanded backspace and enter keys and the four-column number pad seem better than the previous model. When I first typed on the keyboard, I, like a lot of other reviewers, wasn't used to shifting my typing to the left of the screen, but I'm confident that I'll get used to it. I don't use the number pad a lot, but on my desktop I do use it from time to time, so I think the laptop having it isn't a con. Having the proper number pad layout was important to me though because I type by muscle memory and am really fast with the number pad when I need it. The screen is bright enough. I don't like how glossy it is, but this is easily fixable. All my previous laptops had glossy screens and I always covered it up with anti-glare screen protectors. If you can install them correctly, then it's just as good as having an OEM anti-glare screen. People who complain about glossy screens don't usually know that they can correct the issue pretty easily. The trackpad works really well. It's smooth and has a good texture and feels similar to a Macbook Pro which is a good thing. The clickiness of it though is a bit mushy and soft (meaning the travel to push down on the trackpad to click isn't super-deep and it doesn't have a terribly satisfying click to it), but it's adequate and not horrible. I think it's fine. The fingerprint reader worked well, just as good as other laptops I've had. One thing I don't like is that it has Windows 10 Home instead of Pro. Personally I use Bitlocker and would have preferred Pro for this. I may upgrade, but it's an extra cost.Spec-wise, here are some things that I noticed that some people might find useful. The memory is faster than the previous model's. It runs at 3200 MHz instead of 2400 MHz (see screenshot). The CPU base clock speed is slower (1.3 GHz vs 1.8 GHz) and the turbo is slower (3.9 GHz vs 4.6 GHz), but according to benchmarks if the 10th Gen has better processing power, better efficiency, runs cooler, and contributes to longer battery life, then I think this is a win. People would say that the 8th Gen would thermal throttle so getting the max turbo wasn't attainable anyway, so hopefully the new CPU will fix this. One thing I didn't like was that they include two 512 GB M.2 SSDs. Why not just one 1 TB? I saw that another store has the same LG model but with only one 512 GB for $350 cheaper. Looking back on it, I should've bought that and use the difference to upgrade to one 1 TB or 2 TB SSD and sell the 512 GB. I was really hoping they would have at least set up the two SSDs in a RAID 0 configuration so I could have one logical 1 TB drive, but they don't. I included a screenshot of the SSDs that are included (Samsung MZVLB512HAJQ, M.2, 3000 MB/s seq. read, 270K IOPS ran. read, PRIe Gen 3 x4, 1800 MB/s seq. write, 420K IOPS ran. write -- according to Samsung's web site). I also included the TPM information that's listed in the BIOS. Again, because Bitlocker is important to me, I was interested in the TPM. My family's phones and WiFi router all use WiFi 6 (802.11ax) so I'm glad this laptop has it to take advantage of my home network's infrastructure. I can confirm that this laptop also supports the new WPA3 which my router and phones are also using.The things included with the laptop are just the tiny power brick and an Ethernet to USB-C adapter. I love how small and light the power brick is, but I guess we'll have to see if it's under-powered. I've also read that you can charge this laptop using USB-C power delivery. I'm not sure of the wattage it allows, but this is something that I'd like to look into.So all in all, it's too soon for me to really give a long-term review, but I did want to give some information which isn't really shown anywhere else (LG's website, etc.). Yes, the laptop is pricey for what it is, but again, it's the only lightweight laptop that comes in 17"". LG probably won't lower the price until there's more competition in this area, so the high price is expected. Also, this is a niche product. Only certain people want the big screen, the light weight, and moderate processing power. All-in-all I'm happy with my purchase so far. I really do appreciate the better keyboard layout. A non-standard keyboard layout (3-column number pad) is a deal breaker for me, which is why I waited for this version of the laptop rather than getting the previous version.
"
"LG Gram 17Z90P - 17"" WQXGA (2560x1600) Ultra-Lightweight Laptop, Intel evo with 11th gen CORE i7 1165G7 CPU , 16GB RAM, 1TB SSD, Alexa Built-in, 19.5 Hours Battery, Thunderbolt 4, Black - 2021","$1,687.13",1.0,"
  Initial impressions of the laptop (weight, battery life, size) are great as written by other reviewers. But after service, driver support and warranty (which no reviewers wrote about) are where the problems are with this laptop. I learnt all this the hard way.Warranty is void on this computer the moment you open the back cover to upgrade your SSD or RAM. This is an up-gradable laptop with an empty SSD slot, and a removable RAM slot.All the Youtube influences talk about how lightweight and configurable the laptop is but they don't tell you that the warranty is void when you open the back cover.Also, if there is a problem with the laptop, you need to send it with the SSD inside to their Michigan repair center, and it will take ten business days for them to ship your laptop back. If you want to remove the SSD (it contains all your information and passwords), before sending a defective laptop, warranty is again void.I learn't all this by speaking with their call center agent. When I asked them why have an empty SSD slot then? The answer was, ""You should upgrade it after the warranty period is over! "".What they are doing is illegal in the United States. This is a violation of Magnuson-Moss Warrany Act. Companies can't void a consumer's warranty or deny warranty coverage solely because the consumer uses a part made by someone else or gets someone not authorized by the company to perform service on the product.There should be a way Amazon forces these companies to clearly state the warranty of their products on Amazon's website for their customers benefit. 1800$ is not chump change.Four Months after Use:1. Update drivers are not present on LG Website.2. Customer wait times are horrible when you call technical support. Email support is non existent. You cannot reply back to the email, technical support will send you. You will be directed to a chatbot, that doesn't even automatically take you to the right division in LG - In this case computers.3. Computer has a Windows App called LG Update Center, where you can update drivers, software etc for the laptop. The issue is, they don't tell you the release date, release notes, or anything about the update on the App.4. When I emailed technical support about this issue (was trying to update the BIOS, and I asked the release date of the bios, as it wasn't present in the LG Update Center App), they directed me to go to Phoenix Bios website and download from there directly the latest drivers. Problem is Phoenix bios makes you install spamware and charges your credit card. Do not install the biosagentplus spamware. You will waste another one day cleaning up the LG computer.I do like the weight of the laptop. But after service doesn't exist. Warranty is useless. Company is good at making Washing Machines and Dryers and they tried to make Cell-Phones, and failed. Now they are trying to make laptops, and don't have a clue of how to go about software updates, customer support and Warranty issues.
"
"LG Gram 17Z90P - 17"" WQXGA (2560x1600) Ultra-Lightweight Laptop, Intel evo with 11th gen CORE i7 1165G7 CPU , 16GB RAM, 1TB SSD, Alexa Built-in, 19.5 Hours Battery, Thunderbolt 4, Black - 2021","$1,687.13",1.0,"
  I use my computer to work, listen to music, stream movies.  I'm hard of hearing and often have the volume all the way up.  You can't do that with this one, the voices sound like they are in a tin can.  For as much as this cost ($1700), I would have expected better speakers.  My previous computer, at less than half the cost of this one, had better speakers.Update: I also watch education webinars for work.  Every since video from here, netflix or amazon prime, doesn't line up the video with the audio.  I can go to 2 other computers in the house and have no issue.  A new computer should not work like this.
"
"LG Gram 17Z90P - 17"" WQXGA (2560x1600) Ultra-Lightweight Laptop, Intel evo with 11th gen CORE i7 1165G7 CPU , 16GB RAM, 1TB SSD, Alexa Built-in, 19.5 Hours Battery, Thunderbolt 4, Black - 2021","$1,687.13",1.0,"
  Windows 10 FAILEDI have had a nightmare getting this Laptop up and running.  Windows 10 forces you to create a Microsoft account to start up the laptop.  Did it occur to Microsoft that I DO NOT WANT AN ACCOUNT WITH  THEM.  I bought a laptop with an operating system.  I don't necessary want to be FORCED to run everything thru MICROSOFT.Terrible experience......
"
"Dell Inspiron 15 3000 Laptop (2021 Latest Model), 15.6"" HD Display, Intel N4020 Dual-Core Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Bluetooth, Wi-Fi, Black, Windows 10",$479.00,5.0,"
  Love this machine.  Was an upgrade for me and meets all of my requirements.  Would recommend this laptop.
"
"Dell Inspiron 15 3000 Laptop (2021 Latest Model), 15.6"" HD Display, Intel N4020 Dual-Core Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Bluetooth, Wi-Fi, Black, Windows 10",$479.00,5.0,"
  Great laptop.  Easy to use.  Recharges really fast.  Excellent visual quality.
"
"Dell Inspiron 15 3000 Laptop (2021 Latest Model), 15.6"" HD Display, Intel N4020 Dual-Core Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Bluetooth, Wi-Fi, Black, Windows 10",$479.00,5.0,"
  Love my computer.  Set up was so easy.
"
"Dell Inspiron 15 3000 Laptop (2021 Latest Model), 15.6"" HD Display, Intel N4020 Dual-Core Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Bluetooth, Wi-Fi, Black, Windows 10",$479.00,5.0,"
  Laptop was delivered within a week. Arrived as described. Windows setup has certainly improved. Almost idiot proof. On the other side, I thought I purchased windows operation system without the Win S mode. ( This allows app download only through Microsoft store. Had to figure out how disable Win S mode first thing. ) Great laptop for my use, fast shipping. Overall great experience.
"
"Dell Inspiron 15 3000 Laptop (2021 Latest Model), 15.6"" HD Display, Intel N4020 Dual-Core Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Bluetooth, Wi-Fi, Black, Windows 10",$479.00,5.0,"
  Unlike other products I've had, the setup was quick and easy. I do miss my back-lit keyboard and wish the markings on the keys were a little more distinct since I'm slightly vision challenged at this point in life, but I'm happy that it's so quick and responsive!
"
"Dell Inspiron 15 3000 Laptop (2021 Latest Model), 15.6"" HD Display, Intel N4020 Dual-Core Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Bluetooth, Wi-Fi, Black, Windows 10",$479.00,5.0,"
  The battery life is satisfactory and does not seem heavy
"
"Dell Inspiron 15 3000 Laptop (2021 Latest Model), 15.6"" HD Display, Intel N4020 Dual-Core Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Bluetooth, Wi-Fi, Black, Windows 10",$479.00,5.0,"
  Great Laptop!  Light weight and easy to use.
"
"Dell Inspiron 15 3000 Laptop (2021 Latest Model), 15.6"" HD Display, Intel N4020 Dual-Core Processor, 8GB RAM, 256GB SSD, Webcam, HDMI, Bluetooth, Wi-Fi, Black, Windows 10",$479.00,5.0,"
  As advertised and everything as expected. High quality and recommended
"
