Example Product Name,Product Details
Product16,"

SAMSUNG XE350XBA-K01US Chromebook 4 + Chrome OS 15.6"" Full HD Intel Celeron Processor N4000 4GB RAM 32Gb Emmc Gigabit Wi-Fi, Silver  4.4 out of 5 stars 2,793  Personal Computers $231.46$231.46 $299.99$299.99  Ships to TurkeyMore Buying Choices$199.66(67 used & new offers) 

"
Product17,"

Acer Swift 3 Thin & Light Laptop, 14"" Full HD IPS, AMD Ryzen 7 4700U Octa-Core with Radeon Graphics, 8GB LPDDR4, 512GB NVMe SSD, Wi-Fi 6, Backlit KB, Fingerprint Reader, Alexa Built-in  4.6 out of 5 stars 2,099  Personal Computers $679.99$679.99  Ships to TurkeyMore Buying Choices$679.00(14 used & new offers) Amazon Certified: Alexa Built-in

"
Product18,"

ASUS F512DA-EB51 VivoBook 15 Thin and Light Laptop, 15.6” Full HD, AMD Quad Core R5-3500U CPU, 8GB DDR4 RAM, 256GB PCIe SSD, AMD Radeon Vega 8 Graphics, Windows 10 Home, Slate Gray  4.6 out of 5 stars 2,227  Personal Computers $599.00$599.00  Ships to TurkeyOnly 5 left in stock - order soon.More Buying Choices$498.29(38 used & new offers) 

"
Product19,"

Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 81HY0000US, Blizzard White  4.5 out of 5 stars 6,744  Personal Computers $292.51$292.51  Ships to TurkeyMore Buying Choices$241.03(65 used & new offers) 

"
Product20,"

Lenovo IdeaPad 3 15"" Laptop, 15.6"" HD (1366 x 768) Display, AMD Ryzen 3 3250U Processor, 4GB DDR4 Onboard RAM, 128GB SSD, AMD Radeon Vega 3 Graphics, Windows 10, 81W10094US, Business Black  4.5 out of 5 stars 862  Personal Computers $359.99$359.99  Ships to TurkeyMore Buying Choices$309.00(53 used & new offers) 

"
Product21,"

Lenovo Legion 5 Gaming Laptop, 15.6"" FHD (1920x1080) IPS Screen, AMD Ryzen 7 4800H Processor, 16GB DDR4, 512GB SSD, NVIDIA GTX 1660Ti, Windows 10, 82B1000AUS, Phantom Black  4.6 out of 5 stars 1,252  Personal Computers $1,149.00$1,149.00  Ships to TurkeyOnly 18 left in stock - order soon.

"
Product22,"

ASUS VivoBook 15 F515 Thin and Light Laptop, 15.6” FHD Display, Intel Core i3-1005G1 Processor, 4GB DDR4 RAM, 128GB PCIe SSD, Fingerprint Reader, Windows 10 Home in S Mode, Slate Grey, F515JA-AH31  4.5 out of 5 stars 223  Personal Computers $369.99$369.99  Ships to Turkey

"
Product23,"

Lenovo Chromebook Flex 5 13"" Laptop, FHD (1920 x 1080) Touch Display, Intel Core i3-10110U Processor, 4GB DDR4 Onboard RAM, 64GB eMMC, Intel Integrated Graphics, Chrome OS, 82B80006UX, Graphite Grey  4.5 out of 5 stars 2,126  Personal Computers $397.13$397.13  Ships to TurkeyMore Buying Choices$309.00(93 used & new offers) 

"
Product24,"

Microsoft Surface Pro 7 – 12.3"" Touch-Screen - 10th Gen Intel Core i5 - 8GB Memory - 128GB SSD (Latest Model) – Platinum (VDV-00001)  4.4 out of 5 stars 2,237  Platinum Ships to TurkeyAlso available in Matte Black Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT 

"
Product25,"

2020 Apple MacBook Pro with Intel Processor (13-inch, 16GB RAM, 512GB SSD Storage) - Space Gray  4.8 out of 5 stars 1,451  $1,599.00$1,599.00 $1,799.00$1,799.00  Only 12 left in stock - order soon.More Buying Choices$1,405.99(4 used & new offers) 

"
Product26,"

Apple MacBook Air MD760LL/A 13.3-Inch Laptop (Intel Core i5 Dual-Core 1.3GHz up to 2.6GHz, 4GB RAM, 128GB SSD, Wi-Fi, Bluetooth 4.0) (Renewed)  4.4 out of 5 stars 1,819  Personal Computers $398.00$398.00 $447.98$447.98  Ships to TurkeyMore Buying Choices$384.99(24 new offers) 

"
Product27,"

Razer Blade 15 Base Gaming Laptop 2021: Intel Core i7-10750H 6 Core, NVIDIA GeForce RTX 3060, 15.6"" FHD 1080p 144Hz, 16GB, 512GB SSD - CNC Aluminum - Chroma RGB Lighting - Thunderbolt 3  4.5 out of 5 stars 98  Personal Computers $1,699.99$1,699.99  Ships to Turkey

"
Product28,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  BMAX X15 Laptop Computers, 15.6"" FHD (1920 x 1080) Display, Intel 4120 up to 2.6 GHz, 8GB DDR4, 256GB SSD Storage, HDMI, Webcam, WI-FI, Windows 10 - Space Grey  3.9 out of 5 stars 43  Personal Computers $359.00$359.00  Ships to Turkey



"
Product29,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  LincPlus 14"" Slim Metal Laptop 4GB RAM 64GB eMMC Storage Upgradeable up to 512GB Windows 10 S Intel Celeron N3350 Netbook Computer Full HD Fanless Quiet Notebook  4.6 out of 5 stars 6  Personal Computers $299.00$299.00  $15.00 coupon applied at checkoutSave $15.00  with coupon Ships to Turkey



"
Product30,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Laptop Computer 14 inch Windows 10 Notebook PC - HAOQIN HaoBook140 Intel Celeron N3350 6GB DDR RAM 128GB SSD FHD IPS Display 5.0GHz WiFi Bluetooth 4.2 HDMI Pink  3.8 out of 5 stars 262  Personal Computers $269.99$269.99 $289.99$289.99  Ships to Turkey



"
Product31,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  LincPlus 14"" Laptop Computer FHD 1920 x 1080 Display,4GB Memory 64GB eMMC Portable and Lightweight Aluminium Notebook Windows 10 in S Notebook White  4.1 out of 5 stars 336  Personal Computers $269.00$269.00  $15.00 coupon applied at checkoutSave $15.00  with coupon Ships to Turkey



"
Product32,"



SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  BMAX Y11 2 in 1 Laptop, Touchscreen 11.6"" FHD (1920 x 1080) Display, 360 Degree Convertible, Intel N4120 Processor, 8GB LPDDR4, 256GB SATA SSD, Windows 10, Type-C, HDMI, All-Metal Body  4.2 out of 5 stars 55  Personal Computers $369.00$369.00  Ships to Turkey



"
Product0," HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a-na0020nr, Ceramic White)  4.6 out of 5 stars 3,312  Personal Computers  Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT "
Product1," HP Stream 11.6-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (11-ak0020nr, Diamond White)  4.4 out of 5 stars 2,098  Diamond White $238.99$238.99  Ships to TurkeyMore Buying Choices$183.99(63 used & new offers) Price may vary by color"
Product2," HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (14-cb185nr, Royal Blue)  4.5 out of 5 stars 3,219  Royal Blue $277.98$277.98  Ships to TurkeyOnly 8 left in stock - order soon.More Buying Choices$229.98(51 used & new offers) Price may vary by color"
Product3," Asus L510MA-DS04 15.6"" Celeron N4020 4 GB RAM 128 GB eMMC  5.0 out of 5 stars 3  Personal Computers $275.54$275.54  Ships to TurkeyMore Buying Choices$268.00(12 new offers) "
Product4," 2021 Newest Dell Inspiron 3000 Laptop, 15.6 HD LED-Backlit Display, Intel Celeron Processor N4020, 8GB DDR4 RAM, 128GB PCIe SSD, Online Meeting Ready, Webcam, WiFi, HDMI, Bluetooth, Win10 Home, Black  4.4 out of 5 stars 255  Personal Computers $449.00$449.00  Ships to Turkey"
Product5," Dell XPS 15 - 15 Inch FHD+, Intel Core i7 10th Gen, 16GB Memory, 512GB Solid State Drive, Nvidia GeForce GTX 1650 Ti 4GB GDDR6, Windows 10 Home (Latest Model) - Silver  4.2 out of 5 stars 300  Personal Computers $1,710.00$1,710.00  Ships to TurkeyOnly 6 left in stock - order soon.Amazon Certified: Alexa Built-in Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT "
Product6," HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a-na0010nr, Mineral Silver)  4.5 out of 5 stars 1,883  Mineral Silver  Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT "
Product7," HP Pavilion 15 Laptop, 11th Gen Intel Core i7-1165G7 Processor, 16 GB RAM, 512 GB SSD Storage, Full HD IPS Micro-Edge Display, Windows 10 Pro, Compact Design, Long Battery Life (15-eg0021nr, 2020)  4.5 out of 5 stars 1,074  Personal Computers $1,190.00$1,190.00  Usually ships within 6 to 10 days.More Buying Choices$1,149.88(7 used & new offers) "
Product8, Lenovo IdeaPad 3 Intel i5-1035G1 Quad Core 12GB RAM 256GB SSD 15.6-inch Touch Screen Laptop  4.6 out of 5 stars 475  Personal Computers $619.00$619.00 $699.00$699.00  Ships to TurkeyMore Buying Choices$519.99(42 used & new offers) 
Product9," 2020 Newest Acer Aspire 5 Slim Laptop 15.6"" FHD IPS Display, AMD Ryzen 3 3200u (up to 3.5GHz), Vega 3 Graphics, 8GB RAM DDR4, 256GB PCIe SSD, Backlit KB,WiFi,HDMI, Win10 w/Ghost Manta Accessories  4.5 out of 5 stars 648  Personal Computers $469.00$469.00 $499.99$499.99  Ships to Turkey"
Product10," Razer Blade 15 Base Gaming Laptop 2020: Intel Core i7-10750H 6-Core, NVIDIA GeForce RTX 2060, 15.6"" FHD 1080p 144Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3, Black  4.6 out of 5 stars 1,053  Black $1,399.99$1,399.99 $1,799.99$1,799.99  Ships to TurkeyMore Buying Choices$1,329.00(14 used & new offers) Price may vary by color"
Product11," Apple MacBook Pro with Apple M1 Chip (13-inch, 16GB RAM, 256GB SSD Storage) - Space Gray (Latest Model) Z11B000E3  4.9 out of 5 stars 22  Personal Computers $1,430.93$1,430.93  More Buying Choices$1,424.00(3 used & new offers) "
Product12," Lenovo Legion 5 15.6"" Gaming Laptop 144Hz AMD Ryzen 7-4800H 16GB RAM 512GB SSD RTX 2060 6GB Phantom Black - AMD Ryzen 7 4800H Octa-core - NVIDIA GeForce RTX 2060 6GB - (IPS)  4.7 out of 5 stars 100  Personal Computers $1,309.99$1,309.99  Ships to TurkeyOnly 7 left in stock - order soon.More Buying Choices$1,099.99(4 new offers) "
Product13," 2020 Flagship HP 14 Chromebook Laptop Computer 14"" HD SVA Anti-Glare Display Intel Celeron Processor 4GB DDR4 64GB eMMC Backlit WiFi Webcam Chrome OS (Renewed)  4.5 out of 5 stars 68  Personal Computers $199.00$199.00  Ships to TurkeyOnly 1 left in stock - order soon."
Product14," Newest HP Pavilion Intel Pentium Silver N5000 4GB 128GB SSD Windows 10 Laptop Red  4.5 out of 5 stars 1,295  Personal Computers $356.98$356.98  Ships to TurkeyMore Buying Choices$294.99(62 used & new offers) "
Product15," Alienware m15 R3 15.6inch FHD Gaming Laptop (Lunar Light) Intel Core i7-10750H 10th Gen, 16GB DDR4 RAM, 512GB SSD, Nvidia GeForce RTX 2060 6GB GDDR6, Windows 10 Home (AWm15-7272WHT-PUS)  4.4 out of 5 stars 402  Personal Computers $1,799.00$1,799.00  Ships to TurkeyOnly 6 left in stock - order soon.More Buying Choices$1,349.00(8 used & new offers) "
Product16," 2021 Newest Dell Inspiron 3000 Laptop, 15.6 HD LED-Backlit Display, Intel Pentium Silver N5030 Processor, 16GB DDR4 RAM, 256GB PCIe Solid State Drive, Online Meeting Ready, Webcam, Win10 Home, Black  4.5 out of 5 stars 68  Personal Computers $539.00$539.00  Ships to TurkeyMore Buying Choices$512.05(3 used & new offers) "
Product17," HP 2-in-1 Convertible Chromebook, 14inch HD Touchscreen, Intel Quad-Core Pentium Silver N5030 Processor Up to 3.10GHz, 4GB Ram, 128GB SSD, Intel UHD Graphics, Webcam, Chrome OS(Renewed (14inch/128GB)  4.7 out of 5 stars 152  Silver $289.99$289.99  Ships to TurkeyOnly 20 left in stock - order soon.Price may vary by color"
Product18," Samsung Chromebook 4 Chrome OS 11.6"" HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US  4.5 out of 5 stars 2,595  Personal Computers $182.03$182.03 $229.99$229.99  Ships to TurkeyMore Buying Choices$169.99(71 used & new offers) "
Product19," 2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 16GB DDR4 RAM, 512GB PCIe SSD) Type-C, HDMI, Windows 10 Pro + HDMI Cable  4.6 out of 5 stars 179  Personal Computers $979.91$979.91  Ships to TurkeyOnly 5 left in stock - order soon.More Buying Choices$959.99(5 new offers) "
Product20," HP Chromebook 11-inch Laptop - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS - (11a-na0010nr, 2020 Model)  4.5 out of 5 stars 123  Ash Gray Also available in Blue"
Product21," HP 15.6 inch HD LED Display Laptop 2020 (Intel Pentium Gold 6405U Processor, 4 GB DDR4 RAM, 128 GB SSD, HDMI, Webcam, WI-FI, Windows 10 S) Scarlet Red (Renewed)  4.5 out of 5 stars 163  Personal Computers $334.50$334.50  Ships to TurkeyOnly 5 left in stock - order soon."
Product22," 2021 HP Stream 14"" HD Thin and Light Laptop, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC, HDMI, Webcam, WiFi, Bluetooth, 1 Year Microsoft 365, Windows 10 S, Rose Pink, W/ IFT Accessories  4.7 out of 5 stars 142  Personal Computers $408.20$408.20 $499.00$499.00  Ships to TurkeyMore Buying Choices$349.00(3 used & new offers) "
Product23," ASUS VivoBook 17.3"" FHD IPS LED Backlight Premium Laptop | AMD Ryzen3 3250U | 8GB DDR4 RAM | 256GB SSD | USB Type-C | WiFi | HDMI | Windows 10  4.3 out of 5 stars 85  Personal Computers $505.00$505.00  Ships to TurkeyMore Buying Choices$399.00(29 used & new offers) "
Product0," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  LincPlus 14"" Slim Metal Laptop 4GB RAM 64GB eMMC Storage Upgradeable up to 512GB Windows 10 S Intel Celeron N3350 Netbook Computer Full HD Fanless Quiet Notebook  4.6 out of 5 stars 6  Personal Computers $299.00$299.00  $15.00 coupon applied at checkoutSave $15.00  with coupon Ships to Turkey"
Product1," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  BMAX X15 Laptop Computers, 15.6"" FHD (1920 x 1080) Display, Intel 4120 up to 2.6 GHz, 8GB DDR4, 256GB SSD Storage, HDMI, Webcam, WI-FI, Windows 10 - Space Grey  3.9 out of 5 stars 43  Personal Computers $359.00$359.00  Ships to Turkey"
Product2," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  BMAX Y11 2 in 1 Laptop, Touchscreen 11.6"" FHD (1920 x 1080) Display, 360 Degree Convertible, Intel N4120 Processor, 8GB LPDDR4, 256GB SATA SSD, Windows 10, Type-C, HDMI, All-Metal Body  4.2 out of 5 stars 55  Personal Computers $369.00$369.00  Ships to Turkey"
Product3," Lenovo IdeaPad 3 14"" Laptop, 14.0"" FHD 1920 x 1080 Display, AMD Ryzen 5 3500U Processor, 8GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 8 Graphics, Narrow Bezel, Windows 10, 81W0003QUS, Abyss Blue  4.5 out of 5 stars 3,557  Personal Computers $539.99$539.99  Ships to TurkeyOnly 1 left in stock - order soon.More Buying Choices$389.00(33 used & new offers) "
Product4," Dell Gaming G3 15 3500, 15.6 inch FHD Laptop - Intel Core i5-10300H, 8GB DDR4 RAM, 512GB SSD, NVIDIA GeForce GTX 1650 Ti 4GB GDDR6 , Windows 10 Home - Eclipse Black (Latest Model)  4.6 out of 5 stars 290  Personal Computers "
Product5," Lenovo - IdeaPad 3 15"" Laptop - Intel Core i3-1005G1-8GB Memory - 256GB SSD - Platinum Grey - 81WE011UUS  4.7 out of 5 stars 480  Personal Computers $472.00$472.00  Ships to TurkeyMore Buying Choices$414.00(45 used & new offers) "
Product6," Dell Inspiron 15 3505 Full HD Laptop (FHD), 15.6 inch - AMD Ryzen 5 3450U, 12GB DDR4 RAM, 512GB SSD, AMD Radeon Vega 8 Graphics, Windows Laptop (10) - Black (Latest Model)  4.4 out of 5 stars 34  Personal Computers "
Product7," Lenovo IdeaPad Flex 5 2-in-1 Laptop, 14"" Full HD IPS Touch Screen, AMD Ryzen 7 4700U, Webcam, Backlit Keyboard, Fingerprint Reader, USB-C, HDMI, Windows 10 Home, 16GB RAM, 512GB PCIe SSD  4.3 out of 5 stars 12  Personal Computers $719.00$719.00  Ships to TurkeyOnly 17 left in stock - order soon.More Buying Choices$679.99(29 used & new offers) "
Product8, Dell Inspiron 3583 15” Laptop Intel Celeron – 128GB SSD – 4GB DDR4 – 1.6GHz - Intel UHD Graphics 610 - Windows 10 Home - Inspiron 15 3000 Series - New  4.4 out of 5 stars 143  Personal Computers $361.00$361.00  Ships to TurkeyOnly 5 left in stock - order soon.More Buying Choices$299.99(29 used & new offers) 
Product9," Samsung Chromebook XE303C12-A01 11.6-inch, Exynos 5250, 2GB RAM, 16GB SSD, Silver (Renewed)  3.6 out of 5 stars 6,359  Silver $121.49$121.49 $158.89$158.89  Ships to TurkeyIn stock on May 24, 2021.More Buying Choices$117.95(7 new offers) "
Product10," Apple MacBook Air MJVM2LL/A 11.6 Inch Laptop (Intel Core i5 Dual-Core 1.6GHz up to 2.7GHz, 4GB RAM, 128GB SSD, Wi-Fi, Bluetooth 4.0, Integrated Intel HD Graphics 6000, Mac OS) (Renewed)  4.4 out of 5 stars 1,861  Personal Computers $395.00$395.00 $499.00$499.00  Ships to TurkeyOnly 1 left in stock - order soon.More Buying Choices$384.99(11 new offers) "
Product11," HP Pavilion x360 14 Convertible 2-in-1 Laptop, 14” Full HD Touchscreen Display, Intel Core i5, 8 GB DDR4 RAM, 512 GB SSD Storage, Windows 10 Home, Backlit Keyboard (14-dh2011nr, 2020 Model)  4.7 out of 5 stars 1,268  Personal Computers $739.99$739.99  Ships to TurkeyOnly 3 left in stock - order soon.More Buying Choices$679.66(16 used & new offers) Amazon Certified: Alexa Built-in"
Product12," Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black  4.3 out of 5 stars 1,585  Personal Computers $279.99$279.99  Ships to TurkeyMore Buying Choices$249.66(57 used & new offers) "
Product13," HP EliteBook 840 G3 Laptop 14"" HD Display, Intel Core i5-6300U 2.4Ghz, 256GB SSD, 16GB DDR4 RAM, Webcam, WiFi, Windows 10 Pro (Renewed)  4.3 out of 5 stars 267  Personal Computers $389.00$389.00  Ships to TurkeyOnly 1 left in stock - order soon.More Buying Choices$383.00(10 new offers) "
Product14," ASUS VivoBook 15 Thin and Light Laptop- 15.6” Full HD, Intel i5-1035G1 CPU, 8GB RAM, 512GB SSD, Backlit KeyBoard, Fingerprint, Windows 10- F512JA-AS54, Slate Gray  4.4 out of 5 stars 652  Personal Computers $749.00$749.00  Ships to TurkeyOnly 1 left in stock - order soon.More Buying Choices$599.98(26 used & new offers) "
Product15," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Panasonic Toughbook CF-19 MK4, Intel i5-U540 @1.20GHz, 10.4"" XGA Touchscreen, 4GB, 128GB SSD, WiFi, Bluetooth, Windows 10 Professional (Renewed)  1.8 out of 5 stars 3  Personal Computers $399.00$399.00  Ships to TurkeyOnly 2 left in stock - order soon."
Product16, SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Used Chromebook in Good Condition C720 Lightweight Laptop Computer 11.6 inches 4GB RAM 16GB eMMC - Celeron 2955U Ultra-Light Design Chrome OS Online Class  4.0 out of 5 stars 10  Personal Computers $161.45$161.45  Ships to Turkey
Product17, SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Laptop Computer Notebook 14-Inch Windows-10 – WINNOVO WinBook N140 6GB RAM 64GB ROM Intel Celeron Processor HD IPS Display Numeric Touchpad 5G WiFi HDMI (Space Grey)  3.5 out of 5 stars 8  Personal Computers $269.99$269.99 $289.99$289.99  $20.00 coupon applied at checkoutSave $20.00  with coupon Ships to Turkey
Product18," Samsung Galaxy Book Pro Laptop Computer, 15.6"" AMOLED Screen, i7 11th Gen, 16GB Memory, 512GB SSD, Long-Lasting Battery, Mystic Blue  3.7 out of 5 stars 12  Mystic Blue $1,299.99$1,299.99  Ships to TurkeyPrice may vary by color"
Product19," HP Chromebook 11-inch Laptop - Up to 15 Hour Battery Life - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS - (11a-na0021nr, 2020 Model, Snow White)  4.5 out of 5 stars 936  Snow White $227.99$227.99 $239.99$239.99  Ships to TurkeyMore Buying Choices$149.00(43 used & new offers) Price may vary by color"
Product20," 2020 HP 14 inch HD Laptop, Intel Celeron N4020 up to 2.8 GHz, 4GB DDR4, 64GB eMMC Storage, WiFi 5, Webcam, HDMI, Windows 10 S /Legendary Accessories (Google Classroom or Zoom Compatible) (Rose Gold)  4.6 out of 5 stars 1,310  Rose Gold $399.99$399.99  Price may vary by color+  "
